spam, "переведо 1000 гривень"
ham, "строк сплати збігає за два дні"
spam, "на вашій картці нові поповнення"
spam, "нова послуга: збережемо 5% від кожної вашої транзакції"
ham, "з 1 березня нова банківська послуга"
spam, "пільговий тариф по вашій банківській картці"
ham, "хочу поділитися своїми думками"
ham, "велике прохання, відредагувати цю програму"
ham, "подзвони мені післязавтра"
ham, "пропоную зробити взаємозалік"
ham, "давай на ці вихідні займемося шоппінгом"
ham, "я отримав цікаву пропозицію"
ham, "більш детально про наші відносини"
ham, "з понеділка я буду працювати редактором новин"
ham, "наступного місяця я збираюся погасити іпотеку"
ham, "прийшла зарплата"
ham, "організатор вечірок запросив вас до друзів"
ham, "було заброньовано номер для двох"
ham, "ваш сертифікат діє ще місяць"
ham, "ваш адвокат запросив доступ"
ham, "ми сьогодні відзначаємо річницю. приходь"
ham, "давай зустрінемося завтра в парку"
ham, "поїхали на вихідних в париж"
ham, "внесіть правки, терміново"
spam, "вітаємо, ви виграли 100 тисяч гривень"
spam, "шановний, реєстрація на розіграш в лотереї"
spam, "ділові відносини не знають кордонів"
spam, "допомога в оформленні документ"
spam, "пошук ділових партнерів за кордоном"
spam, "весільні тури на острови"
spam, "оренда тандем велосипедів"
spam, "романтична вечеря в нашому ресторані"
spam, "відчуваєш його присутність"
spam, "допомога в складанні шлюбних контрактів"
spam, "фоторедактор"
spam, "редагування і ретушування фотографій"
spam, "переклад і правка іноземних текстів"
spam, виправлення орфографічних і пунктуаційних помилок"
spam, редагування відсканованих текстів"
spam, "редагуємо фото і відео безкоштовно"
ham, "ваш адвокат запросив доступ"
ham, "ми сьогодні відзначаємо річницю. приходь"
ham, "давай зустрінемося завтра в парку"
ham, "поїхали на вихідних в париж"
ham, "внесіть правки, терміново"
ham, "редакція газети просить вибачення за свої помилки"
ham, "красиво відредагуєма вірші"
ham, "принесіть відредагований сценарій"
ham, "головний редактор незадоволений вашою статтею"
ham, "швидко відредагуйте текст"
spam, "кредит під 0 відсотків"
spam, "запрошуємо відвідати "студію позики""
spam, "відкриття нового ломбарду в вашому домі"
spam, "кредит за 5 хвилин"
spam, "ваші фінансові потреби - наші фінансові можливості"
spam, "вітаємо, ви виграли 100 тисяч гривень"
spam, "шановний, реєстрація на розіграш в лотереї"
spam, "ділові відносини не знають кордонів"
spam, "допомога в оформленні документ"
spam, "пошук ділових партнерів за кордоном"
spam, "переведення на ваше ім'я"
spam, "перевірте бонусний рахунок"
ham, "шановний клієнт, у вас є можливість скористатися нашими фінансами"
spam, "пільгові умови на протязі трьох днів"
ham, "рухи на вашому розрахунковому рахунку"
ham, "мені запропонували золоту банківську карту"
spam, "допомагаємо налагодити відносини за кордоном"
ham, "запит на реєстрацію шлюбу прийнято"
spam, "тільки у нас: кращі наречені"
spam, "не знаєте мову? допоможемо з комунікацією за кордоном"
ham, "пропоную зустрітися і поговорити"
ham, "коли буде час - приходь"
ham, "потрібно виправити ряд помилок"
ham, "не вистачає орфографічного словника"
ham, "не відповідає вимогам"
spam, "використання різних шрифтів в різних цілях"
spam, "навчання діловодства"
ham, "мама, перевір, будь ласка, мій твір"
spam, "як здорово знати кілька мов"
spam, "редагуємо тексти дешево"
